,name,age,height,short-age
375,Emma Thompson,66,5ft 7,False
376,Lea Thompson,64,5ft 3,False
377,Billy Bob Thornton,70,5ft 10,False
378,Meg Tilly,65,5ft 6,False
379,Marisa Tomei,61,5ft 3,False
380,Tamlyn Tomita,59,5ft 2,False
381,Jeanne Tripplehorn,62,5ft 6,False
382,Chris Tucker,54,6ft,False
383,Robin Tunney,53,5ft 3,True
384,Kathleen Turner,71,5ft 8,False
385,Casper Van Dien,57,5ft 9,False
386,Vince Vaughn,55,6ft 5,False
387,Christopher Walken,82,6ft 0,False
388,Sela Ward,69,5ft 7,False
389,Julie Warner,60,5ft 2,False
390,Lesley Ann Warren,79,5ft 7,False
391,John Waters,79,6ft 1,False
392,Peter Weller,78,5ft 11,False
393,Joanne Whalley,64,5ft 1,False
394,Wil Wheaton,53,5ft 9,False
395,Michael Wincott,67,5ft 9,False
396,Debra Winger,70,5ft 4,False
397,Kate Winslet,50,5ft 6,False
398,Reese Witherspoon,49,5ft 1,False
399,BD Wong,65,5ft 4,False
400,Elijah Wood,44,5ft 5,False
401,Michelle Yeoh,63,5ft 3,False
402,Billy Zane,59,6ft,False
403,Paula Abdul,63,5ft 0,False
404,F. Murray Abraham,86,5ft 10,False
405,Brooke Adams,76,5ft 3,False
406,Joey Lauren Adams,57,5ft 4,False
407,Maud Adams,80,5ft 9,False
408,Mario Adorf,95,5ft 9,False
409,Casey Affleck,50,5ft 9,False
410,Jane Alexander,86,5ft 7,False
411,Debbie Allen,75,5ft 2,False
412,Tim Allen,72,5ft 10,False
413,Maria Conchita Alonso,70,5ft 6,False
414,Carol Alt,65,5ft 10,False
415,Trini Alvarado,58,5ft 5,False
416,Mädchen Amick,55,5ft 5,True
417,Kevin Anderson,65,6ft 7,False
418,Loni Anderson,80,5ft 6,False
419,Melissa Sue Anderson,63,5ft 3,False
420,Melody Anderson,70,5ft 6,False
421,Richard Dean Anderson,75,6ft 1,False
422,Jean-Hugues Anglade,70,5ft 7,False
423,Francesca Annis,80,5ft 4,False
424,Lysette Anthony,62,5ft 5,False
425,Susan Anton,75,5ft 11,False
426,Christina Applegate,54,5ft 5,False
427,Asia Argento,50,5ft 5,False
428,Bess Armstrong,72,5ft 4,False
429,Tom Arnold,66,6ft 1,False
430,Dana Ashbrook,58,6ft 0,False
431,Linden Ashby,65,5ft 10,False
432,Armand Assante,76,5ft 9,False
433,Christopher Atkins,64,5ft 10,False
434,Barbara Bach,79,5ft 7,False
435,Amitabh Bachchan,83,6ft 2,False
436,Jane Badler,72,5ft 5,False
437,Barbara Bain,94,5ft 7,False
438,Scott Bakula,71,5ft 11,False
439,Bob Balaban,80,5ft 5,False
440,Daniel Baldwin,65,6ft 1,False
441,Javier Bardem,56,5ft 11,False
442,Mikhail Baryshnikov,77,5ft 6,False
443,Jason Bateman,56,5ft 10,False
444,Kathy Bates,77,5ft 3,False
445,Randall Batinkoff,57,6ft 4,False
446,Belinda Bauer,75,5ft 6,False
447,Steven Bauer,69,6ft 1,False
448,Meredith Baxter,78,5ft 7,False
449,Michael Bay,60,6ft 1,False
450,Stephanie Beacham,78,5ft 5,False
451,Jennifer Beals,62,5ft 8,False
452,Warren Beatty,88,6ft 1,False
453,Bonnie Bedelia,77,5ft 3,False
454,Jason Beghe,65,5ft 9,False
455,Kathleen Beller,69,5ft 2,False
456,Monica Bellucci,61,5ft 7,False
457,Pamela Bellwood,81,5ft 4,False
458,Brian Benben,69,5ft 6,False
459,Roberto Benigni,73,5ft 6,False
460,Annette Bening,67,5ft 8,False
